Subscription_Status,Age,Monthly_Fee,Avg_Class_Attendance,Check_Ins_Per_Month,Years_As_Member,Cardio_Machine_Minutes,Weight_Room_Minutes,Personal_Trainer_Sessions,Complaints_Filed,Friend_Referrals,Gender,Home_Branch,Payment_Method,Join_Date,Promo_Code_Used,Locker_Rented,Favorite_Workout_Time,Member_ID,Notes_Field
Renewed,30,79.99,3,8,2.7,202,191,1,0,0,F,Northside,Direct Debit,2022-02-03,nan,Y,Morning,GYM-94872,Prefers morning yoga
Renewed,30,59.99,6,11,0.1,227,316,1,1,0,F,Uptown,Cash,05/02/22,WINTER20,No,Morning,GYM-26714,Requested new barbell sets
Cancelled,31,49.99,1,3,0.4,67,287,3,0,0,femal,Uptown,Credit Card,2022-02-06,nan,No,Afternoon,GYM-48639,Showers are cold
Renewed,37,49.99,5,10,2.2,130,395,2,0,0,M,Downtown,Cash,2022-02-07,nan,Yes,Night,GYM-62709,Showers are cold
Renewed,30,79.99,5,6,0.2,110,350,1,1,0,Male,Downtown,Direct Debit,2022-02-09,nan,Y,Afternoon,GYM-20859,Showers are cold
Cancelled,47,49.99,7,2,7.1,11,296,1,4,0,F,Downtown,Direct Debit,10/02/22,nan,No,Afternoon,GYM-86274,Showers are cold
Renewed,26,59.99,5,7,4.1,287,193,4,0,0,Female,Uptown,Credit Card,2022-02-12,nan,No,Afternoon,GYM-87199,Prefers morning yoga
Cancelled,33,59.99,1,6,2.0,174,391,0,3,0,femal,Uptown,Credit Card,2022-02-13,nan,No,Afternoon,GYM-77363,Requested new barbell sets
Renewed,30,59.99,4,3,3.4,153,280,1,0,0,Female,Northside,Cash,2022-02-15,nan,No,Evening,GYM-20027,Showers are cold
Renewed,49,79.99,6,11,4.4,42,388,0,0,0,M,Downtown,Direct Debit,16/02/22,nan,Yes,Morning,GYM-99869,Requested new barbell sets
Expired,36,49.99,1,7,0.6,204,300,1,0,0,M,Northside,Direct Debit,2022-02-18,nan,Yes,Night,GYM-17184,Requested new barbell sets
Expired,45,49.99,1,6,3.8,171,385,1,0,0,Male,Northside,Cash,2022-02-19,nan,No,Night,GYM-34256,Prefers morning yoga
Cancelled,20,49.99,2,2,0.4,293,249,2,2,0,M,Uptown,Credit Card,2022-02-21,nan,Yes,Night,GYM-58339,Requested new barbell sets
Renewed,-5,49.99,6,2,1.1,284,230,0,0,0,femal,Northside,Direct Debit,22/02/22,nan,No,Afternoon,GYM-54896,Showers are cold
Renewed,43,49.99,4,7,1.6,51,2,2,0,0,m,Downtown,Direct Debit,2022-02-24,nan,No,Morning,GYM-28557,Showers are cold
Cancelled,35,49.99,5,4,2.5,114,173,1,2,0,m,Downtown,Credit Card,2022-02-25,nan,Yes,Morning,GYM-40517,Prefers morning yoga
Renewed,45,,8,8,0.1,18,239,2,0,0,M,Uptown,Direct Debit,2022-02-26,nan,Yes,Night,GYM-75665,Showers are cold
Renewed,29,79.99,5,12,0.7,34,103,1,0,0,femal,Uptown,Credit Card,28/02/22,nan,No,Night,GYM-91552,Showers are cold
Renewed,49,49.99,6,6,1.9,47,288,0,0,0,m,Uptown,Cash,2022-03-01,nan,No,Afternoon,GYM-65039,Prefers morning yoga
Renewed,57,49.99,3,13,0.9,232,243,2,0,0,Female,Downtown,Credit Card,2022-03-03,nan,Yes,Night,GYM-77094,Prefers morning yoga
Expired,31,,3,11,3.0,218,287,0,0,0,femal,Uptown,Credit Card,2022-03-04,nan,No,Afternoon,GYM-85989,Showers are cold
Renewed,30,49.99,4,12,2.1,109,366,2,0,0,femal,Downtown,Cash,06/03/22,nan,No,Night,GYM-95120,Prefers morning yoga
Cancelled,49,49.99,4,1,0.5,253,272,0,0,0,M,Northside,Direct Debit,2022-03-07,nan,Yes,Morning,GYM-23835,Prefers morning yoga
Renewed,50,49.99,5,14,0.3,187,119,1,1,0,Female,Uptown,Direct Debit,2022-03-09,WINTER20,Yes,Morning,GYM-46492,Showers are cold
Renewed,29,59.99,4,4,2.0,30,337,1,0,0,Female,Uptown,Credit Card,2022-03-10,nan,Yes,Morning,GYM-62685,Showers are cold
Renewed,30,49.99,5,12,1.2,258,258,0,1,0,m,Uptown,Credit Card,12/03/22,nan,No,Evening,GYM-14693,Prefers morning yoga
Renewed,32,,3,5,0.4,162,69,2,0,0,Male,Downtown,Cash,2022-03-13,nan,No,Night,GYM-58401,Requested new barbell sets
Expired,21,49.99,1,6,0.8,70,182,4,0,0,Female,Northside,Cash,2022-03-15,nan,No,Evening,GYM-35190,Requested new barbell sets
Cancelled,25,59.99,3,0,0.7,55,246,1,2,0,m,Uptown,Direct Debit,2022-03-16,nan,No,Morning,GYM-42605,Showers are cold
Expired,24,49.99,3,9,0.2,98,117,0,0,0,Male,Northside,Direct Debit,17/03/22,nan,Yes,Night,GYM-31646,Showers are cold
Cancelled,27,49.99,3,0,1.6,20,30,0,0,0,femal,Uptown,Cash,2022-03-19,nan,Yes,Evening,GYM-55478,Requested new barbell sets
Cancelled,34,59.99,6,0,2.9,107,148,0,1,0,m,Downtown,Credit Card,2022-03-20,WINTER20,Yes,Morning,GYM-36957,Prefers morning yoga
Expired,37,59.99,7,8,1.7,52,15,1,0,0,m,Northside,Cash,2022-03-22,nan,Yes,Morning,GYM-91860,Requested new barbell sets
Renewed,50,59.99,5,11,3.5,5,272,0,0,0,M,Northside,Direct Debit,23/03/22,nan,No,Night,GYM-69296,Requested new barbell sets
Renewed,25,59.99,4,7,0.3,230,351,1,0,0,femal,Uptown,Credit Card,2022-03-25,nan,No,Night,GYM-99220,Showers are cold
Renewed,44,79.99,2,10,1.1,81,384,1,1,0,femal,Northside,Cash,2022-03-26,nan,Yes,Afternoon,GYM-49175,Prefers morning yoga
Renewed,32,79.99,0,7,1.9,216,367,0,1,0,F,Downtown,Direct Debit,2022-03-28,nan,Yes,Night,GYM-47010,Requested new barbell sets
Renewed,34,,4,16,2.3,46,101,0,0,0,Male,Northside,Credit Card,29/03/22,nan,Yes,Morning,GYM-20251,Prefers morning yoga
Renewed,41,49.99,3,7,2.4,240,71,0,0,0,m,Northside,Credit Card,2022-03-31,nan,Y,Afternoon,GYM-32343,Showers are cold
Cancelled,23,49.99,5,3,2.6,177,192,1,2,0,Female,Northside,Credit Card,2022-04-01,SUMMER50,No,Afternoon,GYM-97943,Requested new barbell sets
Renewed,38,,3,5,2.1,81,321,0,0,0,Female,Northside,Credit Card,2022-04-03,nan,No,Night,GYM-81734,Showers are cold
Renewed,36,59.99,4,7,0.2,286,110,1,0,0,F,Uptown,Credit Card,04/04/22,nan,Yes,Morning,GYM-56201,Requested new barbell sets
Renewed,39,,6,11,2.4,191,292,1,0,0,Male,Uptown,Cash,2022-04-05,WINTER20,No,Evening,GYM-85937,Prefers morning yoga
Renewed,37,49.99,3,8,2.6,142,346,2,0,0,M,Northside,Credit Card,2022-04-07,WINTER20,Yes,Morning,GYM-44385,Showers are cold
Cancelled,59,79.99,3,1,10.1,278,339,3,1,0,Male,Northside,Cash,2022-04-08,nan,Y,Morning,GYM-48848,Prefers morning yoga
Renewed,28,79.99,4,6,2.4,40,366,1,1,0,Female,Downtown,Credit Card,10/04/22,nan,No,Night,GYM-11899,Requested new barbell sets
Expired,29,79.99,5,9,2.3,270,317,0,1,0,Female,Uptown,Direct Debit,2022-04-11,nan,No,Evening,GYM-90674,Showers are cold
Cancelled,28,49.99,5,5,1.4,86,276,2,3,0,M,Uptown,Credit Card,2022-04-13,nan,No,Afternoon,GYM-23983,Prefers morning yoga
Renewed,29,59.99,4,5,4.0,2,105,2,0,0,M,Uptown,Cash,2022-04-14,SUMMER50,No,Evening,GYM-32706,Prefers morning yoga
Renewed,28,49.99,8,8,11.5,210,36,1,1,0,Female,Northside,Direct Debit,16/04/22,nan,Yes,Night,GYM-82911,Requested new barbell sets
Cancelled,46,49.99,6,2,3.0,0,290,2,1,0,m,Uptown,Direct Debit,2022-04-17,nan,Yes,Morning,GYM-30357,Showers are cold
Cancelled,49,,4,3,1.9,74,180,2,1,0,m,Downtown,Cash,2022-04-19,nan,No,Morning,GYM-37528,Prefers morning yoga
Cancelled,29,49.99,3,3,0.2,230,142,0,2,0,M,Downtown,Direct Debit,2022-04-20,nan,Yes,Evening,GYM-39223,Showers are cold
Cancelled,26,49.99,3,1,2.6,75,113,2,3,0,femal,Downtown,Cash,22/04/22,SUMMER50,Yes,Evening,GYM-59877,Showers are cold
Renewed,39,79.99,4,6,2.5,259,237,1,0,0,m,Downtown,Credit Card,2022-04-23,nan,No,Night,GYM-54487,Showers are cold
Renewed,29,49.99,4,9,3.0,24,93,0,1,0,M,Downtown,Credit Card,2022-04-24,nan,Y,Evening,GYM-18031,Showers are cold
Renewed,41,59.99,3,8,0.3,199,259,1,0,0,Male,Uptown,Cash,2022-04-26,nan,Y,Night,GYM-35753,Requested new barbell sets
Cancelled,37,59.99,4,1,2.1,93,106,0,3,0,Male,Northside,Credit Card,27/04/22,nan,Yes,Afternoon,GYM-87137,Prefers morning yoga
Cancelled,19,49.99,3,3,0.7,107,243,0,2,0,Male,Northside,Direct Debit,2022-04-29,nan,Yes,Evening,GYM-94260,Showers are cold
Renewed,50,49.99,5,13,2.9,94,334,0,0,0,M,Northside,Credit Card,2022-04-30,WINTER20,No,Morning,GYM-20675,Prefers morning yoga
Renewed,52,49.99,2,7,0.5,90,22,0,0,0,M,Northside,Credit Card,2022-05-02,nan,No,Evening,GYM-49307,Prefers morning yoga
Renewed,28,59.99,6,6,2.3,43,360,1,0,1,m,Uptown,Direct Debit,03/05/22,nan,Y,Morning,GYM-55221,Prefers morning yoga
Renewed,31,49.99,5,11,0.7,22,270,2,0,0,m,Uptown,Direct Debit,2022-05-05,nan,No,Afternoon,GYM-38099,Requested new barbell sets
Cancelled,37,49.99,1,2,0.0,189,139,1,4,0,m,Uptown,Credit Card,2022-05-06,nan,No,Afternoon,GYM-99020,Showers are cold
Cancelled,38,49.99,5,0,2.0,22,383,1,2,0,F,Downtown,Credit Card,2022-05-08,nan,Yes,Evening,GYM-60711,Showers are cold
Cancelled,41,,4,1,0.2,233,81,2,2,0,M,Northside,Credit Card,09/05/22,WINTER20,Yes,Night,GYM-59101,Prefers morning yoga
Renewed,55,79.99,0,13,2.2,185,376,1,1,0,femal,Uptown,Cash,2022-05-11,nan,Yes,Morning,GYM-26784,Prefers morning yoga
Renewed,33,49.99,5,7,5.2,62,343,0,0,0,Male,Uptown,Cash,2022-05-12,nan,No,Afternoon,GYM-46978,Requested new barbell sets
Cancelled,27,59.99,4,1,7.0,102,155,2,2,0,Male,Uptown,Credit Card,2022-05-13,nan,Yes,Evening,GYM-39022,Requested new barbell sets
Cancelled,21,59.99,6,3,0.5,188,334,2,1,0,F,Northside,Credit Card,15/05/22,nan,No,Afternoon,GYM-95251,Prefers morning yoga
Cancelled,27,79.99,1,0,3.3,188,18,1,1,0,F,Northside,Direct Debit,2022-05-16,nan,No,Evening,GYM-47739,Showers are cold
Cancelled,34,,2,1,0.9,68,68,1,2,0,Male,Downtown,Credit Card,2022-05-18,nan,Yes,Morning,GYM-93169,Requested new barbell sets
Renewed,52,59.99,2,11,4.6,113,131,0,0,0,M,Downtown,Credit Card,2022-05-19,nan,Y,Evening,GYM-14226,Showers are cold
Renewed,29,59.99,3,11,3.1,103,255,1,0,0,Male,Downtown,Cash,21/05/22,nan,No,Morning,GYM-32791,Requested new barbell sets
Renewed,37,79.99,3,8,0.2,107,208,0,1,0,Male,Northside,Cash,2022-05-22,nan,Y,Afternoon,GYM-97563,Showers are cold
Renewed,34,,1,5,1.0,20,9,2,0,0,femal,Downtown,Cash,2022-05-24,nan,Y,Morning,GYM-98897,Prefers morning yoga
Renewed,46,49.99,3,9,0.8,265,139,0,0,0,F,Downtown,Direct Debit,2022-05-25,nan,Yes,Morning,GYM-53478,Requested new barbell sets
Renewed,60,49.99,3,12,3.1,208,134,2,0,0,F,Uptown,Credit Card,27/05/22,nan,Yes,Night,GYM-67504,Prefers morning yoga
Cancelled,29,79.99,3,2,1.1,169,254,2,3,0,m,Northside,Cash,2022-05-28,nan,Yes,Afternoon,GYM-51073,Requested new barbell sets
Renewed,30,79.99,2,4,2.3,193,299,0,0,0,F,Downtown,Direct Debit,2022-05-30,nan,No,Morning,GYM-16161,Prefers morning yoga
Renewed,45,49.99,3,6,1.8,122,257,1,0,0,femal,Downtown,Credit Card,2022-05-31,SUMMER50,No,Night,GYM-48229,Requested new barbell sets
Expired,41,59.99,6,11,7.4,176,93,0,1,0,femal,Northside,Credit Card,01/06/22,nan,Y,Night,GYM-85213,Requested new barbell sets
Renewed,53,49.99,2,9,5.6,3,371,0,0,0,Male,Downtown,Direct Debit,2022-06-03,nan,Yes,Morning,GYM-11628,Requested new barbell sets
Renewed,40,49.99,4,10,1.1,187,240,1,1,0,femal,Northside,Credit Card,2022-06-04,nan,No,Evening,GYM-83516,Showers are cold
Cancelled,31,79.99,4,3,2.6,28,236,1,4,0,m,Northside,Direct Debit,2022-06-06,nan,Y,Morning,GYM-41374,Showers are cold
Renewed,40,49.99,3,4,3.5,85,164,1,1,0,Male,Northside,Direct Debit,07/06/22,nan,No,Evening,GYM-56892,Requested new barbell sets
Renewed,46,49.99,4,5,4.6,46,324,0,0,0,M,Downtown,Cash,2022-06-09,WINTER20,Yes,Morning,GYM-87411,Prefers morning yoga
Renewed,43,,3,8,0.1,76,147,2,0,0,M,Downtown,Direct Debit,2022-06-10,nan,No,Afternoon,GYM-32980,Prefers morning yoga
Renewed,40,59.99,3,12,0.7,190,217,1,1,0,F,Downtown,Cash,2022-06-12,WINTER20,Yes,Night,GYM-94418,Requested new barbell sets
Expired,45,49.99,6,6,0.8,30,107,1,0,0,m,Northside,Credit Card,13/06/22,nan,Yes,Morning,GYM-44763,Showers are cold
Cancelled,46,59.99,7,1,1.1,168,230,2,1,0,femal,Downtown,Cash,2022-06-15,SUMMER50,Yes,Morning,GYM-20301,Showers are cold
Cancelled,48,59.99,6,0,0.4,35,69,0,1,0,Female,Uptown,Direct Debit,2022-06-16,nan,Yes,Morning,GYM-76131,Showers are cold
Cancelled,41,49.99,2,3,1.4,244,220,0,2,0,M,Northside,Cash,2022-06-18,nan,No,Evening,GYM-92859,Showers are cold
Cancelled,33,49.99,1,3,2.2,187,73,0,5,0,femal,Downtown,Credit Card,19/06/22,nan,Yes,Afternoon,GYM-60451,Prefers morning yoga
Renewed,36,59.99,5,7,1.4,14,178,3,0,0,M,Northside,Cash,2022-06-20,nan,No,Afternoon,GYM-31798,Requested new barbell sets
Cancelled,47,49.99,2,1,2.2,215,79,0,2,0,M,Downtown,Credit Card,2022-06-22,WINTER20,Yes,Morning,GYM-68496,Requested new barbell sets
Renewed,26,,5,6,0.1,157,353,2,0,0,M,Northside,Direct Debit,2022-06-23,nan,Yes,Night,GYM-71803,Requested new barbell sets
Cancelled,38,79.99,3,1,4.2,154,158,1,1,0,F,Uptown,Cash,25/06/22,nan,Yes,Night,GYM-19589,Prefers morning yoga
Cancelled,31,79.99,5,6,5.6,240,355,0,3,0,m,Northside,Credit Card,2022-06-26,nan,Yes,Morning,GYM-90633,Showers are cold
Renewed,35,49.99,5,5,1.9,295,168,2,0,0,M,Northside,Credit Card,2022-06-28,SUMMER50,Yes,Evening,GYM-58222,Showers are cold
Renewed,47,79.99,5,6,4.3,44,313,0,0,0,femal,Northside,Cash,2022-06-29,nan,No,Night,GYM-16381,Prefers morning yoga
Renewed,36,,6,10,0.3,174,388,0,0,0,femal,Downtown,Cash,01/07/22,nan,Y,Afternoon,GYM-66615,Prefers morning yoga
Renewed,35,49.99,6,3,3.2,55,160,0,0,0,F,Northside,Cash,2022-07-02,nan,Yes,Night,GYM-40588,Requested new barbell sets
Cancelled,21,49.99,5,1,0.3,53,31,0,3,0,m,Downtown,Cash,2022-07-04,nan,Yes,Night,GYM-78453,Requested new barbell sets
Cancelled,42,49.99,5,2,1.0,264,120,1,1,0,m,Northside,Cash,2022-07-05,nan,Yes,Morning,GYM-37115,Prefers morning yoga
Renewed,41,59.99,2,14,0.8,238,214,1,0,0,Female,Downtown,Credit Card,07/07/22,nan,No,Night,GYM-14353,Prefers morning yoga
Renewed,56,49.99,4,8,1.8,107,2,2,0,0,Male,Downtown,Direct Debit,2022-07-08,nan,No,Morning,GYM-86162,Prefers morning yoga
Renewed,-5,,4,7,0.7,197,384,0,0,0,M,Downtown,Credit Card,2022-07-09,nan,No,Afternoon,GYM-79901,Showers are cold
Renewed,37,59.99,2,7,2.0,213,227,0,2,0,F,Downtown,Cash,2022-07-11,nan,Yes,Night,GYM-36576,Requested new barbell sets
Renewed,37,49.99,3,11,0.9,245,47,0,0,0,m,Northside,Cash,12/07/22,WINTER20,Yes,Morning,GYM-95038,Prefers morning yoga
Renewed,50,59.99,3,8,3.9,37,166,0,0,0,Female,Northside,Direct Debit,2022-07-14,nan,Yes,Morning,GYM-33133,Prefers morning yoga
Expired,34,49.99,4,2,2.0,172,388,0,0,0,Male,Downtown,Cash,2022-07-15,nan,No,Afternoon,GYM-53701,Showers are cold
Renewed,37,79.99,4,14,0.5,104,332,0,0,0,m,Downtown,Direct Debit,2022-07-17,nan,Yes,Night,GYM-84681,Prefers morning yoga
Renewed,41,79.99,2,9,0.8,39,10,2,0,0,m,Downtown,Cash,18/07/22,nan,No,Evening,GYM-52546,Requested new barbell sets
Cancelled,36,49.99,6,2,3.8,129,237,1,3,0,M,Uptown,Credit Card,2022-07-20,nan,No,Night,GYM-93661,Showers are cold
Renewed,30,49.99,4,11,1.0,180,277,3,0,0,Male,Uptown,Direct Debit,2022-07-21,nan,No,Morning,GYM-58943,Prefers morning yoga
Expired,36,49.99,4,7,1.5,193,240,0,0,0,Male,Northside,Credit Card,2022-07-23,nan,Yes,Morning,GYM-77994,Requested new barbell sets
Expired,45,79.99,4,6,2.1,288,191,0,0,0,F,Uptown,Cash,24/07/22,nan,No,Afternoon,GYM-37468,Requested new barbell sets
Renewed,24,49.99,6,9,0.9,58,11,2,0,0,Female,Uptown,Credit Card,2022-07-26,SUMMER50,Yes,Afternoon,GYM-73612,Showers are cold
Renewed,36,49.99,5,9,0.7,25,52,2,1,0,femal,Downtown,Credit Card,2022-07-27,nan,Y,Evening,GYM-49123,Requested new barbell sets
Renewed,27,49.99,3,7,1.3,102,54,1,0,0,F,Downtown,Credit Card,2022-07-28,nan,Yes,Evening,GYM-82599,Showers are cold
Renewed,46,49.99,5,5,0.5,20,308,1,1,0,Female,Uptown,Direct Debit,30/07/22,nan,Yes,Morning,GYM-16003,Requested new barbell sets
Renewed,19,49.99,5,6,0.7,79,20,0,0,0,F,Uptown,Direct Debit,2022-07-31,nan,Yes,Evening,GYM-21024,Prefers morning yoga
Cancelled,29,79.99,5,1,0.1,198,18,0,0,0,Female,Uptown,Direct Debit,2022-08-02,nan,No,Evening,GYM-27173,Showers are cold
Renewed,38,49.99,4,13,0.7,36,343,2,1,0,femal,Downtown,Credit Card,2022-08-03,nan,Yes,Evening,GYM-16458,Requested new barbell sets
Renewed,50,49.99,6,7,0.8,13,349,3,0,0,M,Northside,Credit Card,05/08/22,nan,No,Night,GYM-71194,Showers are cold
Renewed,34,79.99,2,8,6.5,220,321,2,0,0,Female,Uptown,Cash,2022-08-06,nan,Yes,Night,GYM-93241,Requested new barbell sets
Expired,29,79.99,9,2,1.8,165,314,0,1,0,femal,Northside,Direct Debit,2022-08-08,nan,Yes,Morning,GYM-63621,Showers are cold
Renewed,53,49.99,2,8,3.1,172,58,1,0,0,F,Northside,Cash,2022-08-09,nan,No,Night,GYM-74213,Prefers morning yoga
Renewed,20,49.99,2,4,0.1,149,150,0,3,0,Male,Uptown,Credit Card,11/08/22,nan,Yes,Evening,GYM-12109,Showers are cold
Renewed,13,49.99,2,10,0.2,171,258,1,1,0,m,Northside,Direct Debit,2022-08-12,nan,No,Evening,GYM-23365,Showers are cold
Expired,39,79.99,3,11,3.4,80,371,0,0,0,femal,Downtown,Cash,2022-08-14,SUMMER50,No,Evening,GYM-61537,Prefers morning yoga
Renewed,29,49.99,6,7,2.0,224,57,1,0,0,femal,Uptown,Credit Card,2022-08-15,nan,No,Night,GYM-90748,Requested new barbell sets
Cancelled,24,,2,3,0.4,34,215,2,2,0,femal,Uptown,Credit Card,16/08/22,nan,Yes,Afternoon,GYM-39145,Prefers morning yoga
Cancelled,42,59.99,4,1,1.0,187,61,1,1,0,Female,Uptown,Credit Card,2022-08-18,nan,No,Evening,GYM-87935,Showers are cold
Renewed,37,59.99,3,11,1.5,223,145,0,0,0,Female,Uptown,Direct Debit,2022-08-19,nan,Y,Evening,GYM-80621,Prefers morning yoga
Cancelled,29,49.99,9,1,3.7,130,381,2,3,0,Male,Downtown,Direct Debit,2022-08-21,nan,No,Afternoon,GYM-33820,Prefers morning yoga
Renewed,22,49.99,4,7,0.1,8,238,1,0,0,M,Downtown,Cash,22/08/22,nan,Yes,Afternoon,GYM-90195,Showers are cold
Cancelled,43,,0,4,1.8,68,292,1,2,0,F,Northside,Credit Card,2022-08-24,WINTER20,No,Morning,GYM-43386,Showers are cold
Cancelled,41,49.99,4,3,2.5,27,181,1,3,0,M,Uptown,Direct Debit,2022-08-25,nan,Y,Morning,GYM-31274,Prefers morning yoga
Renewed,34,59.99,4,10,7.6,233,368,3,0,0,Female,Uptown,Direct Debit,2022-08-27,WINTER20,No,Night,GYM-19074,Showers are cold
Renewed,53,79.99,3,11,3.3,30,94,0,0,0,Female,Northside,Credit Card,28/08/22,nan,No,Afternoon,GYM-77239,Requested new barbell sets
Cancelled,24,59.99,3,3,0.6,231,77,0,1,0,femal,Downtown,Credit Card,2022-08-30,nan,No,Morning,GYM-20987,Requested new barbell sets
Renewed,19,59.99,1,9,2.5,53,141,0,0,0,femal,Uptown,Cash,2022-08-31,nan,Yes,Evening,GYM-39780,Requested new barbell sets
Renewed,28,49.99,6,3,2.9,174,104,1,0,0,M,Northside,Cash,2022-09-02,nan,Yes,Morning,GYM-61571,Requested new barbell sets
Renewed,34,49.99,8,7,2.6,297,260,3,1,0,F,Downtown,Cash,03/09/22,WINTER20,Yes,Evening,GYM-72538,Prefers morning yoga
Cancelled,37,49.99,3,1,3.4,278,94,2,3,0,Female,Northside,Direct Debit,2022-09-04,nan,Yes,Evening,GYM-98291,Prefers morning yoga
Cancelled,32,59.99,2,3,4.7,85,222,1,1,0,Female,Northside,Direct Debit,2022-09-06,nan,No,Evening,GYM-74082,Prefers morning yoga
Renewed,38,79.99,6,7,0.2,64,189,4,1,0,M,Downtown,Direct Debit,2022-09-07,nan,No,Night,GYM-20227,Showers are cold
Renewed,22,59.99,2,6,0.2,88,128,0,0,0,m,Uptown,Direct Debit,09/09/22,nan,No,Afternoon,GYM-48926,Prefers morning yoga
Renewed,49,49.99,6,11,3.2,53,318,0,0,0,femal,Downtown,Direct Debit,2022-09-10,nan,No,Night,GYM-17148,Prefers morning yoga
Cancelled,34,49.99,3,1,0.6,117,194,0,3,0,Male,Uptown,Credit Card,2022-09-12,nan,Yes,Morning,GYM-45628,Showers are cold
Renewed,46,59.99,3,12,0.1,228,19,0,0,0,Female,Downtown,Cash,2022-09-13,SUMMER50,Yes,Morning,GYM-40900,Showers are cold
Cancelled,38,49.99,1,2,1.0,266,298,1,2,0,F,Uptown,Cash,15/09/22,nan,Y,Afternoon,GYM-21771,Showers are cold
Renewed,39,79.99,3,8,3.4,21,239,2,1,0,m,Uptown,Cash,2022-09-16,WINTER20,No,Afternoon,GYM-77921,Requested new barbell sets
Expired,40,79.99,4,8,0.3,246,234,1,1,0,M,Northside,Cash,2022-09-18,SUMMER50,No,Morning,GYM-76461,Prefers morning yoga
Renewed,39,59.99,4,4,2.2,19,84,1,1,0,M,Northside,Credit Card,2022-09-19,WINTER20,Y,Afternoon,GYM-48989,Prefers morning yoga
Renewed,41,,3,11,0.0,183,93,0,0,0,F,Uptown,Direct Debit,21/09/22,nan,Yes,Afternoon,GYM-42996,Prefers morning yoga
